name,ring,quadrant,isNew,description,,
Design system decision records,Trial,Techniques,TRUE,"<p>In a fast-paced product development environment where users' needs constantly evolve, design is an area that is ever-changing. This means input on design decisions will continue to be required. Borrowing from the idea of documenting architecture decisions via ADRs, we started adopting a similar format Ñ <strong>design system decision records</strong> Ñ in order to document design system decisions with the corresponding rationale, research insights and experiment results. Communicating design system decisions effectively seems to be an emerging need of product development teams, doing it in this light manner is also recommended by <a href=""https://zeroheight.com/blog/capturing-your-design-system-decisions/"">zeroheight</a>. This technique helped us reduce onboarding times, move conversations forward and align work streams that share the same design system.</p> 
https://cognitect.com/blog/2011/11/15/documenting-architecture-decisions",,
LLM-powered autonomous agents,Assess,Techniques,TRUE,"<p>As development of large language models continues, interest in building autonomous AI agents is strong. <a href=""https://github.com/Significant-Gravitas/Auto-GPT"">AutoGPT</a>, <a href=""https://github.com/AntonOsika/gpt-engineer"">GPT-Engineer</a> and <a href=""https://github.com/yoheinakajima/babyagi"">BabyAGI</a> are all examples of <strong>LLM-powered autonomous agents</strong> that drive an underlying LLM to understand the goal they have been given and to work toward it. The agent remembers how far it has progressed, uses the LLM in order to reason about what to do next, takes actions and understands when the goal has been met. This is often known as chain-of-thought reasoning Ñ and it can actually work. One of our teams implemented a client service chatbot as an autonomous agent. If the bot cannot achieve the customer's goal, it recognizes its own limitation and redirects the customer to a human instead. This approach is definitely early in its development cycle: autonomous agents often suffer from a high failure rate and incur costly AI service fees, and at least one AI startup has <a href=""https://twitter.com/zachtratar/status/1694024240880861571"">pivoted away</a> from an agent-based approach.</p>",,
Server Side UI for Apps,Assess,Techniques,TRUE,,,
Modular Architecture,Trial,Platforms,TRUE,,,
Cross Funktional Team - Backend+Web+App,Trial,Techniques,TRUE,,,
Feature Toggle,Trial,Techniques,FALSE,,,
Opinionated and automated code formatting,Trial,Techniques,FALSE,,,
UI Component Display,Assess,Techniques,TRUE,Storybook for Apps,,
Structured Logging,Trial,Techniques,FALSE,,,
Crowdtesting,Adopt,Techniques,FALSE,Testbirds,,
Roadmap Planning,Adopt,Techniques,FALSE,,,
Lifecycle Management,Adopt,Techniques,FALSE,,,
Kotlin Kover,Trial,Tools,FALSE,"<p><a href=""https://github.com/Kotlin/kotlinx-kover""><strong>Kotlin Kover</strong></a> is a code coverage tool set designed specifically for <a href=""/radar/languages-and-frameworks/kotlin"">Kotlin</a>, supporting Kotlin JVM, <a href=""/radar/languages-and-frameworks/kotlin-multiplatform-mobile"">Multiplatform</a> and Android projects. The significance of code coverage lies in its ability to spotlight untested segments, which reinforces software reliability. As Kover evolves, it stands out because of its ability to produce comprehensive HTML and XML reports, coupled with unmatched precision tailored to Kotlin. For teams deeply rooted in Kotlin, we advise you to assess Kover to leverage its potential in enhancing code quality.</p>",,
SonarQube,Adopt,Tools,FALSE,,,
Maestro,Assess,Tools,TRUE,"<p><strong><a href=""https://maestro.mobile.dev/"">Maestro</a></strong> is a TRUE cross-platform mobile UI test automation tool with built-in tolerance for flakiness and variance in application load times because of network or external factors. With a declarative YAML syntax, it makes it easy to write and maintain automated tests for mobile apps. It supports iOS and Android native apps, <a href=""/radar/languages-and-frameworks/react-native"">React Native</a> and <a href=""/radar/languages-and-frameworks/flutter"">Flutter</a> apps, as well as a variety of features for automating complex mobile UI interactions, such as tapping, scrolling and swiping. Maestro is distributed as a single binary for ease of use, runs in interpreted mode and makes it easy to author TRUE tests thanks to features like continuous mode. Maestro still lacks specific features like support for iOS devices, but the tool is rapidly evolving.</p>",,
OpenRewrite,Assess,Tools,TRUE,"<p>We've seen several use cases for code intelligence tools: moving to a TRUE API version of a widely used library, understanding the impact of a just discovered vulnerability in such a library across an enterprise or applying updates to many services that were created from the same template. <a href=""/radar/tools/sourcegraph"">Sourcegraph</a> is still a popular tool in this space, and <strong><a href=""https://github.com/openrewrite/rewrite"">OpenRewrite</a></strong> is another tool we want to highlight. While our teams have mostly used it in Java for narrow problems, like updating services created through a starter kit, it continues to broaden its coverage of languages and use cases. We like that it comes bundled with a catalog of recipes, which describe the changes to be made, for example for migrating commonly used frameworks across versions. The refactoring engine, bundled recipes and build tool plugins are open-source software, which makes it easier for teams to reach for OpenRewrite just when they need it. It remains to be seen how the maturing space of code intelligence tools, which are all based on parsing the source code into an abstract syntax tree (AST), will be impacted by the rapid developments in the space of LLMs.</p>",,
GitHub Copilot,Trial,Tools,FALSE,"<p><strong><a href=""https://github.com/features/copilot"">GitHub Copilot</a></strong> is used by many of our teams to help them write code faster. Overall, most of our developers find it very useful and would be cross if we took it away from them. We've been collating and sharing many of our experiences with Copilot through <a href=""https://martinfowler.com/articles/exploring-gen-ai.html"">a series on Generative AI</a> and <a href=""https://www.thoughtworks.com/insights/blog/generative-ai/getting-started-with-github-copilot"">a guide on getting started with Copilot</a>. Note that GitHub Copilot can be used with any codebase, not just codebases hosted on GitHub.</p>

<p>We're also excited that Copilot's chat feature from the <a href=""https://github.com/features/preview/copilot-x"">Copilot X roadmap</a> has become more widely available since we last featured it in the Radar. It is a powerful addition to Copilot's in-line assistance feature. The availability of a chat interface inside the IDE improves the discoverability of commonly searched information, and integration with the open editor context makes it easy to explore errors or ask the chat to assist with tasks related to the code in focus.</p>",,
ChatGPT,Trial,Tools,FALSE,"<p><strong><a href=""https://openai.com/blog/chatgpt"">ChatGPT</a></strong> continues to attract attention. Imaginative use cases and innovative approaches to prompting mean it's gaining expanding utility over time. GPT4, the large language model (LLM) that powers ChatGPT, now also has the ability to integrate with external tools such as a knowledge management repository, sandboxed coding environment or web search. The recent introduction of <a href=""https://openai.com/blog/introducing-chatgpt-enterprise"">ChatGPT Enterprise</a> may help ease intellectual property concerns, while providing ""enterprise"" features such as usage tracking and better user management through SSO.</p>

<p>Although ChatGPT's ability to ""write"" code has been much vaunted, we think organizations should be looking at using it across the full software lifecycle to improve efficiency and reduce errors. For example, ChatGPT can provide additional perspectives or suggestions for tasks as diverse as requirements analysis, architectural design or the reverse engineering of legacy systems. We still think ChatGPT is best used as an input to a process Ñ such as helping with a first draft of a story or the boilerplate for a coding task Ñ rather than a tool that produces ""fully baked"" results. That said, its capabilities are improving each week, and some programming tasks may now be fully possible by careful prompting, which is an <a href=""/radar/techniques/prompt-engineering"">art in itself</a>.</p>",,
Appdynamics,Hold,Tools,FALSE,,,
Promon AppShielder,Trial,Tools,FALSE,,,
Swift Charts,Trial,Tools,FALSE,,,
AIDA,Hold,Tools,FALSE,,,
Lottie,Trial,Tools,FALSE,,,
Renovate,Trial,Tools,FALSE,,,
GenAI powered UI,Assess,Tools,TRUE,,,
CodiumAI,Trial,Tools,TRUE,,,
Detekt,Trial,Tools,FALSE,,,
Cloud CI/CD,Adopt,Tools,TRUE,,,
fastlane,Adopt,Tools,FALSE,,,
LeakCanary,Trial,Tools,TRUE,,,
Espresso,Trial,Tools,FALSE,,,
PowerMock,Hold,Tools,FALSE,,,
OkHttp,Adopt,Tools,FALSE,,,
MPAndroidChart,Adopt,Tools,FALSE,,,
Retrofit,Adopt,Tools,FALSE,,,
Glide,Adopt,Tools,FALSE,,,
Room,Trial,Tools,FALSE,,,
Moshi,Adopt,Tools,FALSE,,,
AssertJ,Trial,Tools,TRUE,,,
Gradle,Adopt,Tools,FALSE,,,
Jackson,Hold,Tools,FALSE,,,
A/B Testing,Trial,Techniques,FALSE,,,
